# Time-averaged data for fix msdOut
# TimeStep Number-of-rows
# Row c_msdLi
11000 4
1 0.314343
2 1.87373
3 0.737995
4 2.92606
12000 4
1 2.78578
2 10.9602
3 3.5447
4 17.2907
13000 4
1 6.59247
2 31.1562
3 10.0571
4 47.8057
14000 4
1 10.6238
2 61.6648
3 19.6294
4 91.918
15000 4
1 19.3685
2 102.061
3 32.6128
4 154.042
16000 4
1 33.5378
2 154.847
3 52.9286
4 241.313
17000 4
1 54.0063
2 209.897
3 88.1657
4 352.069
18000 4
1 84.745
2 284.471
3 120.31
4 489.526
19000 4
1 126.22
2 383.999
3 155.837
4 666.056
20000 4
1 177.458
2 506.721
3 184.747
4 868.926
21000 4
1 233.279
2 656.051
3 198.945
4 1088.28
22000 4
1 296.39
2 827.782
3 205.952
4 1330.12
23000 4
1 374.804
2 1022.32
3 219.694
4 1616.82
24000 4
1 429.285
2 1176.12
3 234.033
4 1839.43
25000 4
1 463.452
2 1353.41
3 269.069
4 2085.93
26000 4
1 560.705
2 1571.68
3 332.996
4 2465.38
27000 4
1 705.182
2 1840.54
3 433.338
4 2979.06
28000 4
1 923.31
2 2111.21
3 543.719
4 3578.24
29000 4
1 1200.9
2 2418.88
3 663.054
4 4282.83
30000 4
1 1540.6
2 2782.55
3 806.028
4 5129.17
31000 4
1 1916.04
2 3176.86
3 966.51
4 6059.42
32000 4
1 2225.52
2 3425.22
3 1138.32
4 6789.05
33000 4
1 2496.1
2 3613.09
3 1325.07
4 7434.27
34000 4
1 2635.11
2 3771.04
3 1457.5
4 7863.64
35000 4
1 2658.94
2 3958.19
3 1670.61
4 8287.74
36000 4
1 2657.33
2 4039.85
3 1798.91
4 8496.09
37000 4
1 2754.94
2 4097.42
3 1752.33
4 8604.68
38000 4
1 2791.62
2 4197.29
3 1739.33
4 8728.24
39000 4
1 2754.19
2 4303.12
3 1753.65
4 8810.96
40000 4
1 2757.99
2 4330.32
3 1915.74
4 9004.06
41000 4
1 2778.5
2 4276.81
3 2137.8
4 9193.12
42000 4
1 2769.31
2 4067.01
3 2345.48
4 9181.8
43000 4
1 2779.27
2 3944.26
3 2574.36
4 9297.89
44000 4
1 2855.91
2 3956.2
3 2891.9
4 9704.02
45000 4
1 2954.04
2 4016.92
3 3107.83
4 10078.8
46000 4
1 3028.76
2 4188.29
3 3363.25
4 10580.3
47000 4
1 3008.49
2 4475.7
3 3714.5
4 11198.7
48000 4
1 3014.08
2 4686.44
3 3903.5
4 11604
49000 4
1 3011.5
2 4764.51
3 4150.69
4 11926.7
50000 4
1 3033.22
2 4855.55
3 4465.21
4 12354
51000 4
1 3203.62
2 4913.92
3 4722.64
4 12840.2
52000 4
1 3315.65
2 4842.84
3 4881.95
4 13040.4
53000 4
1 3412.97
2 4990.41
3 5175.95
4 13579.3
54000 4
1 3533.63
2 5279.38
3 5529.05
4 14342.1
55000 4
1 3525.72
2 5533.06
3 5929.11
4 14987.9
56000 4
1 3519.77
2 5601.25
3 6159.18
4 15280.2
57000 4
1 3576.87
2 5546.6
3 6307.5
4 15431
58000 4
1 3600.82
2 5490.92
3 6476.99
4 15568.7
59000 4
1 3683.19
2 5445.68
3 6559.35
4 15688.2
60000 4
1 3829.67
2 5436.71
3 6566.52
4 15832.9
61000 4
1 3972.81
2 5445.35
3 6681.02
4 16099.2
62000 4
1 4104.42
2 5432.25
3 6828.22
4 16364.9
63000 4
1 4150.06
2 5395.39
3 6854.51
4 16400
64000 4
1 4152.35
2 5294.87
3 6846.67
4 16293.9
65000 4
1 4156.96
2 5196.21
3 6883.75
4 16236.9
66000 4
1 4206.94
2 5204.84
3 6838.87
4 16250.6
67000 4
1 4270.27
2 5396.97
3 6838.35
4 16505.6
68000 4
1 4218.33
2 5608.4
3 6879.52
4 16706.2
69000 4
1 4120.73
2 5704.16
3 6955.06
4 16779.9
70000 4
